Date,State,Town,Longitude,Latitude,Sighting
09/09/17,MN,Annandale,-94.2,45.2,1
09/09/17,IN,Zionsville,-86.3,40,1
09/09/17,MD,Spencerville,-77,39.1,1
09/09/17,TX,Austin,-97.9,30.2,4
09/09/17,IL,Forest Park,-87.8,41.9,3
09/09/17,VA,Manassas,-77.5,38.8,1
09/09/17,OK,Oklahoma City,-97.5,35.5,1
09/09/17,WI,Montello,-89.4,43.7,1
09/09/17,MI,Harrisville,-83.3,44.6,1
09/09/17,WI,Marshall,-89.1,43.2,2
09/09/17,NE,Bellevue,-95.9,41.1,100
09/09/17,CT,Ledyard,-72,41.4,3
09/09/17,CT,Preston,-72,41.5,3
09/09/17,MD,Clear Spring,-78,39.7,1
09/09/17,ON,Toronto,-79.5,43.6,1
09/09/17,TX,Gause,-96.7,30.7,4
09/09/17,NY,Bayside,-73.8,40.8,1
09/09/17,KY,Lexington,-84.4,37.9,1
09/09/17,NJ,Bloomingdale,-74.3,41,3
09/09/17,IL,Evanston,-87.7,42,1
09/09/17,NY,Shelby,-78.4,43.2,2
09/09/17,PA,Pittsburgh,-79.9,40.5,1
09/09/17,ON,Lowbanks,-79.5,42.8,5
09/09/17,WI,Allenton,-88.4,43.4,2
09/09/17,TX,Austin,-97.7,30.3,2
09/09/17,CA,Little River,-123.8,39.3,1
09/09/17,NY,High Falls,-74.1,41.8,2
09/09/17,IN,West Harrison,-84.9,39.3,1
09/09/17,NE,Grand Island,-98.4,40.9,1
09/09/17,TX,Houston,-95.6,30,7
09/09/17,IL,Bensenville,-87.9,42,1
09/09/17,TX,Arlington,-97.1,32.7,1
09/09/17,IL,Oak Park,-87.8,41.9,3
09/09/17,MD,Laurel,-76.8,39.1,1
09/09/17,WI,Milwaukee,-87.9,43.1,5
09/09/17,IL,Mokena,-87.9,41.5,2
09/09/17,NE,Omaha,-96.1,41.3,1
09/09/17,ON,Chatham-Kent,-82.2,42.4,2
09/09/17,ON,Leamington,-82.5,41.9,8
09/09/17,ON,Kingsville,-82.7,42,12
09/09/17,MO,Plattsburg,-94.5,39.5,6
09/09/17,MN,Barnesville,-96.4,46.7,1
09/09/17,IL,Glencoe,-87.8,42.1,2
09/09/17,MO,Salem,-91.5,37.6,1
09/09/17,ME,Boothbay,-69.6,43.9,5
09/09/17,ME,Boothbay Harbor,-69.6,43.9,6
09/09/17,PA,Hanover,-77,39.8,1
09/09/17,NC,Pineville,-80.9,35.1,2
09/09/17,ON,Ajax,-79,43.8,45
09/09/17,KY,Salvisa,-84.8,37.9,1
09/09/17,MO,Edina,-92.2,40.2,1
